freq,peak_mag
6000,2.03858781678788
6892,1.98077342084557
7917,2.07856731330049
8485,1.59888766504534
9094,1.3750724594928
10447,1.4069451603971
12000,1.05359733311307
13784,0.830018325260745
15834,1.402448908731
16971,1.14977880705958
18189,1.43797127523584
20893,1.91626858109849
24000,2.10650727187032
27569,2.17966317359329
31668,1.81862762268433
33941,2.03895470453528
36377,1.74992396901042
41786,2.57572718439902
48000,3.08385115547544
55138,3.92760924526104
63336,4.25400425870193
67882,4.98571179856364
72754,4.58843355430815
6000,2.03855214794352
6892,1.98138965409256
7917,2.07648927153198
8485,1.59727601980104
9094,1.37518938250853
10447,1.40519057207523
12000,1.05438077671858
13784,0.829873452933733
15834,1.4022688497508
16971,1.15162057551193
18189,1.43846344428295
20893,1.91849002486437
24000,2.10604147352134
27569,2.20605325649528
31668,1.81367433260652
33941,2.00669278875947
36377,1.75699168253419
41786,2.61404312315618
48000,3.07812236556188
55138,3.95840835283078
63336,4.49879628635009
67882,4.96428348581832
72754,4.3922887260734
6000,2.03880381401116
6892,1.98150640059194
7917,2.07752742407064
8485,1.59733360904575
9094,1.37399079438293
10447,1.40550004580618
12000,1.05580080224634
13784,0.830703854153767
15834,1.40468413643264
16971,1.15165100486817
18189,1.43854946277825
20893,1.91405905013667
24000,2.11060395862198
27569,2.18377776387544
31668,1.78802517417332
33941,2.02169782859617
36377,1.72618875836262
41786,2.56613239314605
48000,3.0859338230072
55138,3.94824203999747
63336,4.50460614742922
67882,4.77936749365973
72754,4.59504932471716
6000,2.03749681259893
6892,1.98193122484542
7917,2.07859706457784
8485,1.59889235728059
9094,1.37361708027369
10447,1.4053463143039
12000,1.05564173468278
13784,0.831695791774788
15834,1.40325051400856
16971,1.14955461080148
18189,1.4309100474974
20893,1.90497054086774
24000,2.1066300436718
27569,2.20368477163637
31668,1.82196284799782
33941,2.04189287351884
36377,1.75328315804497
41786,2.58803198629789
48000,2.96617984595786
55138,3.94798523868754
63336,4.17038599542068
67882,4.86200136588582
72754,4.5940917553522
6000,2.03857855312851
6892,1.9818863066606
7917,2.07873563451805
8485,1.59923364986914
9094,1.37423588059912
10447,1.40720895920813
12000,1.0557299810928
13784,0.831596854651284
15834,1.40732110192469
16971,1.15127935139913
18189,1.43090007669774
20893,1.91502268809592
24000,2.1070979714121
27569,2.17873182446474
31668,1.7891739367095
33941,2.02303338154628
36377,1.75733344164771
41786,2.55300925931167
48000,2.9652890758011
55138,3.80012804255841
63336,4.42968432799902
67882,4.85157560297469
72754,4.22025015773759
6000,2.03764537312851
6892,1.98199711640479
7917,2.07853348395747
8485,1.59919458283779
9094,1.37461210389056
10447,1.40572750380166
12000,1.0554979631174
13784,0.831105064265683
15834,1.40752772881603
16971,1.15162888221233
18189,1.43392942883517
20893,1.91767823701814
24000,2.10671355282477
27569,2.20538199784041
31668,1.79228382498976
33941,2.03492135741648
36377,1.75607270847589
41786,2.61812869398984
48000,3.07701088427122
55138,3.910571515411
63336,4.16960280550944
67882,4.94364353902543
72754,4.4030440839166
6000,2.0388555958454
6892,1.98193891851477
7917,2.07869177199852
8485,1.59799753805802
9094,1.37360715636519
10447,1.40634088776075
12000,1.05473192436866
13784,0.831757363366129
15834,1.40751563152077
16971,1.15054001492085
18189,1.43086276042805
20893,1.90396891286653
24000,2.09487103824146
27569,2.20557917228509
31668,1.78816290164487
33941,2.04543007193031
36377,1.72942384572471
41786,2.61421969880124
48000,2.9544726369005
55138,3.92953342530129
63336,4.1968810211581
67882,4.97110522067069
72754,4.55781817771958
6000,2.03835736994611
6892,1.98193159248813
7917,2.07855054452553
8485,1.59897623972812
9094,1.37522033960745
10447,1.40582841447545
12000,1.0531874176483
13784,0.828984529389316
15834,1.40122301800564
16971,1.14568660375927
18189,1.43863265601394
20893,1.90468605171182
24000,2.08798857669838
27569,2.19744984524908
31668,1.82175367485456
33941,2.03893028043434
36377,1.75734356010429
41786,2.61392723349966
48000,3.07692581730031
55138,3.85479689445525
63336,4.50817248252381
67882,5.00085415329912
72754,4.23447293073014
6000,2.03875400567758
6892,1.98180682759022
7917,2.07743895405725
8485,1.59921394805318
9094,1.37553140892455
10447,1.40758744075021
12000,1.05384177970574
13784,0.828997511873378
15834,1.40119566289083
16971,1.15147123970453
18189,1.43116982722242
20893,1.90477523336878
24000,2.08918920643639
27569,2.20613220384548
31668,1.79067158964052
33941,2.01661797545704
36377,1.7501127975337
41786,2.61648293693061
48000,2.99312621122909
55138,3.92658752032207
63336,4.51222147694338
67882,4.97656821323293
72754,4.59476678891223
